finishing_position,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,win_odds,race_course,race_class,race_distance,track_condition,race_name,track,Season,recent_6_runs,recent_ave_rank,jockey_ave_rank,track_condition_id,race_course_id,track_id,season_id
5,JOLLY JOLLY,T087,Z Purton,P O'Sullivan,125,1217,2,1.7,Sha Tin,Class 3,1600,GOOD,KOWLOON PEAK HANDICAP,"TURF - ""B+2"" COURSE",Winter,5/1/1/2/2/3,3.125,4.934573444515715,1,0,6,2
8,BRILLIANT DREAM,S203,Z Purton,D J Hall,123,1153,11,6.1,Happy Valley,Class 3,1200,GOOD,CANNON HANDICAP,"TURF - ""A"" COURSE",Winter,8/4/8/3/5/9,5.214285714285714,4.934573444515715,1,1,1,2
5,BUDDY BUDDIES,M021,O Doleuze,C W Chang,124,1019,6,11,Sha Tin,Class 3,1650,GOOD,SAI WAN SHAN HANDICAP,ALL WEATHER TRACK,Autumn,5/9,7.0,6.394838709677419,1,0,5,3
2,MI SAVVY,N138,N Rawiller,R Gibson,126,1134,5,3.3,Happy Valley,Class 4,1200,GOOD TO FIRM,LAI ON HANDICAP,"TURF - ""B"" COURSE",Summer,2/6/6/7/3/9,4.846153846153846,6.083734359961501,2,1,4,4
6,BOLSHOI BALLET,V226,M F Poon,D J Hall,114,1064,4,3.1,Sha Tin,Class 4,1200,GOOD,HAP MUN BAY HANDICAP,ALL WEATHER TRACK,Spring,6/8/7/2/7/5,6.933333333333334,5.076923076923077,1,0,5,1
11,EMPEROR VICTORY,T340,K C Leung,Y S Tsui,128,1084,8,99,Sha Tin,Class 4 (Restricted),1000,GOOD TO FIRM,CHUEN LUNG HANDICAP,"TURF - ""C+3"" COURSE",Autumn,11/10,10.5,6.729086722947045,2,0,3,3
6,INDUSTRIALIST WAY,S023,K K Chiong,C H Yip,120,1229,2,15,Sha Tin,Class 3,2000,GOOD TO FIRM,CARL F. BUCHERER EXCELLENT HANDICAP,"TURF - ""A"" COURSE",Autumn,6/7/7/1/11/3,4.894736842105263,6.400593471810089,2,0,1,3
4,INVENTOR,T379,M L Yeung,C S Shum,123,992,3,15,Sha Tin,Class 4,1400,GOOD,CYMBIDIUM HANDICAP,"TURF - ""A+3"" COURSE",Spring,4/6/12/12/12/10,8.777777777777779,6.9703356752537085,1,0,7,1
11,FIVE UP HIGH,S276,N Callan,A T Millard,128,1124,13,6.7,Sha Tin,Class 3,1400,GOOD TO FIRM,SPORTS FOR HOPE HANDICAP,"TURF - ""C+3"" COURSE",Spring,11/1/4/8/2,5.2,6.066800267201069,2,0,3,1
2,BLOCKER DEE,T374,Z Purton,C Fownes,123,1272,2,2.1,Happy Valley,Class 3,1200,GOOD,WONG CHUK HANG HANDICAP,"TURF - ""B"" COURSE",Autumn,2/2/5,3.0,4.934573444515715,1,1,4,3
3,GOLDEN CHOPSTICKS,P120,H W Lai,A Lee,131,1136,4,15,Sha Tin,Class 4,1200,GOOD,LYNDHURST HANDICAP,"TURF - ""C+3"" COURSE",Spring,3/5/2/2/1/8,4.375,7.4045275590551185,1,0,3,1
6,MR GINGER,N307,C Y Ho,C Fownes,127,1185,11,12,Happy Valley,Class 4,1200,GOOD TO YIELDING,LOCKHART HANDICAP,"TURF - ""A"" COURSE",Spring,6/2/5/8/9/12,7.0,7.03235082674335,3,1,1,1
12,EVER SHINY,S214,C Schofield,C H Yip,115,1094,1,11,Sha Tin,Class 5,1200,GOOD,CINERARIA HANDICAP,ALL WEATHER TRACK,Spring,12/3/4/11/11/9,9.0,6.29047619047619,1,0,5,1
2,HARRIER JET,T372,S Clipperton,P O'Sullivan,127,1145,11,27,Happy Valley,Class 3,1200,GOOD,CONNAUGHT HANDICAP,"TURF - ""C+3"" COURSE",Winter,2/3/2/4/12/11,5.461538461538462,6.290948275862069,1,1,3,2
2,SICHUAN DAR,T375,Z Purton,C Fownes,133,1005,8,5.5,Sha Tin,Class 3,1400,GOOD,MUI WO HANDICAP,"TURF - ""B+2"" COURSE",Autumn,2/5/7,4.666666666666667,4.934573444515715,1,0,6,3
6,ACCLAIMED LIGHT,T369,N Callan,P O'Sullivan,131,1014,2,5.4,Sha Tin,Class 4,1400,GOOD TO FIRM,REVLON HANDICAP,"TURF - ""C+3"" COURSE",Autumn,6/4/4/7/9/7,6.2,6.066800267201069,2,0,3,3
3,COLLAGEN,P302,N Callan,P O'Sullivan,127,1173,4,9.7,Sha Tin,Class 4,1400,GOOD,HELENE MASCOT HANDICAP,"TURF - ""A"" COURSE",Spring,3/8/1/9/3/4,4.666666666666667,6.066800267201069,1,0,1,1
4,BRILLIANT DREAM,S203,J Moreira,D J Hall,126,1120,13,5.6,Sha Tin,Class 3,1400,GOOD TO FIRM,WU KING HANDICAP,"TURF - ""C"" COURSE",Winter,4/4/1/2/2,2.6,4.073019161056448,2,0,2,2
8,BRILLIANT DREAM,S203,D Lane,D J Hall,123,1115,10,32,Happy Valley,Class 3,1200,GOOD TO FIRM,OWL HANDICAP,"TURF - ""A"" COURSE",Spring,8/8/9/4/4/1,4.75,7.433734939759036,2,1,1,1
4,SUNNY WAY,V176,Z Purton,J Moore,131,1053,9,5.7,Sha Tin,Class 3,1400,GOOD TO FIRM,SPORTING EXCHANGE HANDICAP,"TURF - ""A+3"" COURSE",Summer,4/3/5/2/1/12,6.0,4.934573444515715,2,0,7,4
11,LOTUS BREEZE,T112,O Murphy,W Y So,119,1092,13,37,Sha Tin,Class 3,1800,GOOD,THE PEARCE MEMORIAL CHALLENGE CUP (HANDICAP),"TURF - ""C+3"" COURSE",Winter,11/4/2/7/6/5,6.344827586206897,7.456896551724138,1,0,3,2
9,NOBLE DE MAN,S215,G Benoist,K L Man,124,1057,7,23,Happy Valley,Class 4,1650,GOOD,KINGSTON HANDICAP,"TURF - ""A"" COURSE",Winter,9/7/3/5/5/4,7.454545454545454,6.886363636363637,1,1,1,2
12,GALLANT ROCK,S240,K Teetan,A T Millard,123,1173,9,3.9,Sha Tin,Class 4,1000,GOOD,SUISSE PROGRAMME HANDICAP,"TURF - ""C+3"" COURSE",Autumn,12/1/3/2/11/6,6.7,6.2772397094431,1,0,3,3
9,BULLISH SMART,S221,C Y Ho,A S Cruz,120,1099,9,32,Sha Tin,Class 2,1400,GOOD TO YIELDING,JINBAO STREET HANDICAP,"TURF - ""C"" COURSE",Spring,9/2/1/6/3/7,5.5,7.03235082674335,3,0,2,1
6,ANDOYAS,T109,C Y Ho,D J Hall,113,1006,5,44,Sha Tin,Group Three,2400,GOOD TO FIRM,THE QUEEN MOTHER MEMORIAL CUP (HANDICAP),"TURF - ""A"" COURSE",Spring,6/1/1/1/2/5,5.611111111111111,7.03235082674335,2,0,1,1
7,CALIFORNIA DISEGNO,V170,M Chadwick,A S Cruz,120,1064,14,71,Sha Tin,Class 2,1600,GOOD TO FIRM,THE RACING CLUB HANDICAP,"TURF - ""A"" COURSE",Summer,7/11/3/12,8.25,6.8599562363238515,2,0,1,4
1,PENIAPHOBIA,S143,D Whyte,A S Cruz,126,1117,1,1.8,Sha Tin,Hong Kong Group One,1000,GOOD TO FIRM,THE KENT & CURWEN CENTENARY SPRINT CUP,"TURF - ""B+2"" COURSE",Winter,1/2/1/1/2/3,1.6666666666666667,5.720234222511386,2,0,6,2
3,RUMBA KING,M172,B Prebble,Y S Tsui,133,1140,1,4.3,Sha Tin,Class 3,1200,FAST,KOWLOON CITY HANDICAP,ALL WEATHER TRACK,Spring,3/11/5/5/12/6,6.142857142857143,5.825347758887172,6,0,5,1
12,PURE MOMENTUM,T316,Z Purton,K W Lui,132,1035,9,12,Sha Tin,Class 4,1400,GOOD,LUNG YAT HANDICAP,"TURF - ""A"" COURSE",Winter,12/6/10/11/4/10,8.833333333333334,4.934573444515715,1,0,1,2
1,HAPPY JOURNEY,S299,M Chadwick,S Woods,130,1033,4,12,Happy Valley,Class 4,1650,GOOD TO YIELDING,HOLLY HANDICAP,"TURF - ""C"" COURSE",Spring,1/7/4/4/3/7,6.260869565217392,6.8599562363238515,3,1,2,1
4,HELENE HAPPY STAR,T104,H Bowman,J Moore,123,1137,3,17,Sha Tin,Group Two,2000,GOOD,THE LONGINES JOCKEY CLUB CUP,"TURF - ""B+2"" COURSE",Autumn,4/9/7/5/7/10,5.842105263157895,5.354166666666667,1,0,6,3
8,ENCORE BOY,A177,U Rispoli,P F Yiu,126,1148,7,3.6,Sha Tin,Class 4,1000,GOOD TO YIELDING,FAY FAY HANDICAP,"TURF - ""A"" COURSE",Spring,8,8.0,6.177189409368635,3,0,1,1
10,SENSIBLE CHOICE,S048,W M Lai,T P Yung,116,1033,11,99,Sha Tin,Class 4,1000,GOOD TO FIRM,SHUI LONG WO HANDICAP,"TURF - ""A+3"" COURSE",Summer,10/12/12,11.333333333333334,8.396103896103897,2,0,7,4
10,EMPEROR VICTORY,T340,Y T Cheng,Y S Tsui,131,1088,13,99,Sha Tin,Class 4,1200,GOOD,CHENGDU HANDICAP,"TURF - ""A+3"" COURSE",Autumn,10,10.0,7.340625,1,0,7,3
2,HAPPY BAO BEI,S172,N Rawiller,Y S Tsui,129,1154,7,6.4,Happy Valley,Class 3,1200,GOOD,LET ME FIGHT HANDICAP,"TURF - ""A"" COURSE",Summer,2/2/6/6/4/5,6.7,6.083734359961501,1,1,1,4
1,PEOPLE'S KNIGHT,T305,G Mosse,J Moore,120,1149,4,6.6,Sha Tin,Griffin Race,1200,GOOD TO FIRM,BREGUET PLATE,"TURF - ""B+2"" COURSE",Summer,1/4,2.5,6.118296529968454,2,0,6,4
1,GO-GETTER,S303,J Moreira,J Size,125,1129,8,4.8,Happy Valley,Class 4,1650,GOOD TO YIELDING,HOLLY HANDICAP,"TURF - ""C"" COURSE",Spring,1/5/11/6/7/2,5.833333333333333,4.073019161056448,3,1,2,1
1,ROBUST MOMENTUM,P422,C Y Ho,C Fownes,122,1209,1,2.5,Happy Valley,Class 4,1650,GOOD TO FIRM,MOUNT CAMERON HANDICAP,"TURF - ""A"" COURSE",Summer,1/6/3/4/1/3,5.2727272727272725,7.03235082674335,2,1,1,4
11,GLORY HORSIE,M273,K C Leung,D Cruz,115,1266,8,29,Sha Tin,Class 4,1000,GOOD TO FIRM,THE SPORTSMANSHIP HANDICAP,"TURF - ""C+3"" COURSE",Spring,11/6/3/12/9/7,6.0476190476190474,6.729086722947045,2,0,3,1
9,BULLISH BOY,P008,G Mosse,A S Cruz,132,1081,8,17,Happy Valley,Class 3,1650,GOOD,LUNG CHEUNG HANDICAP,"TURF - ""C+3"" COURSE",Summer,9/1/12/12/5/3,7.333333333333333,6.118296529968454,1,1,3,4
5,APACHE SPIRIT,T095,C Y Ho,C Fownes,122,1076,8,20,Happy Valley,Class 3,1200,GOOD,HARBOUR VIEW HANDICAP,"TURF - ""C"" COURSE",Spring,5/1/11/7/10/11,7.115384615384615,7.03235082674335,1,1,2,1
8,WINNING INSTINCT,N121,Z Purton,C W Chang,133,1089,2,2.8,Sha Tin,Class 3,1650,GOOD,SAI WAN SHAN HANDICAP,ALL WEATHER TRACK,Autumn,8/2,5.0,4.934573444515715,1,0,5,3
11,WINNING EXPRESSO,S292,C Reith,J Moore,125,1162,14,20,Sha Tin,Class 4,1000,GOOD,REVLON HANDICAP,"TURF - ""C+3"" COURSE",Autumn,11/9,10.0,7.37962962962963,1,0,3,3
3,HAPPY BAO BEI,S172,S de Sousa,Y S Tsui,130,1151,1,7.3,Happy Valley,Class 3,1200,GOOD,CORNFLOWER HANDICAP,"TURF - ""A"" COURSE",Autumn,3/2/3/4/2/2,6.083333333333333,5.863501483679525,1,1,1,3
12,RICCO RICCO,V085,H N Wong,Y S Tsui,111,1063,11,49,Sha Tin,Class 4,1400,GOOD TO FIRM,THE EQUESTRIAN FUN HANDICAP,"TURF - ""C+3"" COURSE",Spring,12/7/9/11/6,9.0,7.104551045510455,2,0,3,1
8,LET ME DO,S316,V Cheminaud,D J Hall,120,1104,4,13,Happy Valley,Class 3,1200,GOOD,VENUS HANDICAP,"TURF - ""C"" COURSE",Winter,8/11/6/2/7/5,5.357142857142857,6.909090909090909,1,1,2,2
8,MAZANDARAN,P408,O Doleuze,A S Cruz,123,1089,1,8.3,Happy Valley,Class 4,2200,GOOD TO FIRM,NORFOLK HANDICAP,"TURF - ""C+3"" COURSE",Spring,8/7/9/9/4/11,6.7272727272727275,6.394838709677419,2,1,3,1
